Timestamp,Name,Summary,Website,Contact,Email,Phone,Street Address,City,State,Zip code,Latitude,Longitude,Category,Accuracy
,Audobon Society of Ohio,Important Birding Areas,http://www.oh.audobon.org,Doreen Whitley,jritzenthaler@audubon.org,,505 West Whittier Street,Columbus,OH,43215,39.9480323,-83.0118018,Advocacy,Municipality
,Audobon Society of Ohio,Important Birding Areas,http://oh.audubon.org/,John P. Cecil,jcecil@audubon.org,"215-355-9588, ext. 15","Audubon Science Office, 545 Almshouse Road",Ivyland,PA,18974,40.2385892,-75.0595445,Advocacy,Municipality
,Baldwin Hills Oil Watch,,http://baldwinhillsoilwatch.org/,,,,,Baldwin Hills,CA,90008,34.009754,-118.33705,Advocacy,Zip code
,Beaver County Marcellus Awareness Committee,"BC-MAC (Beaver County Marcellus Awareness Committee) is a local, grassroots group that was formed in early 2010.  Our mission from the beginning was to uncover factual information regarding gas drilling in Western Pennsylvania-specifically in Beaver Coun",https://sites.google.com/site/beavercountymac/home?mobile=true,Steve White,BCMAC@marcellusawareness.com,412-897-7996,,Beaver,PA,,40.696211,-80.30243,Advocacy,Municipality
,Benedictine Sisters Erie PA,,http://www.eriebenedictines.org/,,,,6101 East Lake Road,Erie,PA,16511,42.179238,-79.974943,Unknown,Address
,Berks Gas Truth,Berks Gas Truth is a grassroots citizensÂ group fighting to bring an end to unconventional natural gas drilling in Pennsylvania.,http://www.gastruth.org/,,berksgastruth@gmail.com,,,,PA,,40.8967018,-77.8388977,Advocacy,State
,Binghamton Regional Sustainability Coalition,"The BRSC is a grassroots, democratically-run organization, dedicated to increasing civic participation through education and collaboration to achieve enduring social, environmental and economic well-being.",http://binghamtonsustainability.org/,,,,Binghamton Regional Sustainability Coalition P.O. Box 907,Binghamton,NY,13902,42.105375,-75.8876,Advocacy,Zip code
,Bloombsburg University,,,Brock Minnich,sheier@bloomu.edu,,400 East Second Street,Bloomsburg,PA,17815,41.0077751,-76.4478707,Education,Municipality
7/3/2014 0:15,Blue Ridge Environmental Defense League,"The Blue Ridge Environmental Defense League is a regional, community-based, non-profit environmental organization. Our founding principles are earth stewardship, environmental democracy, social justice, and community empowerment.",www.bredl.org,"Louis Zeller, Executive Director",bredl@skybest.org,(336) 982-2691 ,PO Box 88,Glendale Springs,NC,28629,36.346,-81.3653,Advocacy,Zip code
,Brandywine Peace Community,,http://www.brandywinepeace.com,,,,,Swarthmore,PA,19081,39.881895,-75.349496,Unknown,Zip Code
,Buckeye Forest Council,Fracking,http://www.buckeyeforestcouncil.org/index.php?option=com_content&task=blogsection&id=21&Itemid=54,Nathan Johsnon,nathan@buckeyeforestcouncil.org,614-487-9290,"1200 West Fifth Avenue, # 103",Columbus,OH,43212,39.9885994,-83.0383971,Advocacy,Municipality
,Buckeye Hills-Hocking Valley Regional Development District,Area Agency on Aging 8,http://www.buckeyehills.org,"Frederick D. Hindman, Jr.",rhindman@buckeyehills.org,1-800-331-2644,1400 Pike Street,Marietta,OH,45773,39.393125,-81.405122,Advocacy,Municipality
,Buckeye Hills-Hocking Valley Regional Development District,Area Agency on Aging,http://www.buckeyehills.org,Bret Allphin,bretallphin@buckeyehills.org,740-376-1028,1400 Pike Street,Marietta,OH,45750,39.393125,-81.405122,Advocacy,Municipality
,Buckeye Trail Association,Trail establishment and maintenance,http://www.buckeyetrail.org,Andrew Bashaw,director@buckeyetrail.org,740-832-1282,PO Box 254,Worthington,OH,43085,40.0931191,-83.017962,Education,Municipality
,Bucknell University,Department of Sociology and Anthropology,http://www.facstaff.bucknell.edu/milofsky/,Carl Milofsky,milofsky@bucknell.edu,570-577-3468,701 Moore Avenue,Lewisburg,PA,17837,40.9558745,-76.8860704,Education,Municipality
,Bucks Transitions Group,Focuses on sustainability,https://www.facebook.com/pages/Bucks-Transition-Group/187803201252106,Henry D'Silva,henrydsilva@comcast.net,267-679-0617,,,PA,,40.3359985,-75.110199,Advocacy,County
,Butler Marcellus Outreach Group,"Marcellus Outreach Butler is a group of Butler County, Pennsylvania individuals and coalitions concerned about the health and safety of our communities due to horizontal, slickwater, hydrofracture drilling in Marcellus Shale for the extraction of natural",http://www.marcellusoutreachbutler.org/,,,,,Butler,PA,,40.860153,-79.895271,Advocacy,Municipality
,Carnegie Mellon University CREATE Laboratory,"The CREATE Lab is both a technology breeding ground and a community partner. It is this unique combination that enables a new form of local change: one that empowers the citizens to chart their technology future and, most important of all, their community's prospects for quality of life.",http://www.cmucreatelab.org/,Illah R. Nourbakhsh,"illah@cs.cmu.edu, info@cmucreatelab.org","415-359-3084, 412-268-6723","5000 Forbes Avenue
Robotics Institute, NSH 3115",Pittsburgh,PA,15213,40.443269,-79.95487,Education,Zipcode
,Catskill Citizens for Safe Energy,Catskill Citizens for Safe Energy is an all volunteer grassroots organization working to prohibit dangerous hydraulic fracturing (fracking) since 2008.,http://catskillcitizens.org/,,info@catskillcitizens.org,845-468 7063,PO BOX 103,Fremont Center,NY,12736,41.848244,-75.03878,Advocacy,Zip code
,Catskill Mountainkeeper,"The mission is to be the strongest and most effective possible advocate for the Catskill region, working through a network of concerned citizen we promote sustainable growth and protect the natural resources essential to health communities.",http://www.catskillmountainkeeper.org/,"Ramsay Adams, Executive Director",ramsay@catskillmountainkeeper.org,845-482-5400,"Catskill Mountainkeeper, P.O. Box 381",Youngsville,NY,12791,41.807694,-74.87957,Advocacy,Zip code
,Catskill Watershed Corporation,The Catskill Watershed Corporation is a Local Development Corporation established to protect the water resources of the New York City Watershed West of the Hudson River (WOH); to preserve and strengthen communities located in the region; and to increase awareness and understanding of the importance of the NYC Water System.,http://www.cwconline.org/,"Alan Rosa, Executive Director",alrosa@cwconline.org,845-586-1400,"Catskill Watershed Corporation P.O. Box 569, Main Street",Margaretville,NY,12455,42.151449,-74.64261,Education,Zip code
,Center for Biological Diversity,Conservation Advocate,http://www.biologicaldiversity.org,Mollie Matteson,mmatteson@biologicaldiversity.org,802-434-2388,,Richmond,VT,5477,44.4053135,-72.9924128,Advocacy,Municipality
,Center for Coalfield Justice,"The Center for Coalfield Justice was formed as the Tri-State Citizens Mining NetworkÂÂ in 1994 by a coalition of grassroots groups and individuals concerned about the effects coal mining had on communities and the environment. The people involved recognized the need to work together to build a strong voice in the coalfield community. By working together, the groups provide mutual support for local events and share information beneficial in each groupÂÂs efforts.",http://coalfieldjustice.org/,"Patrick Grenter, Executive Director",,724-229-3550,184 S. Main St.  1080,Washington,PA,15301,40.170663,-80.25185,Advocacy,Zip code
,"Center for Environmental Research and Education, Duquesne University (CERE)","CERE provides multidisciplinary education that prepares students for careers in current and emerging areas of environmental science, advancing the mission and vision of the University and Bayer School of Natural and Environmental Sciences",http://www.duq.edu/academics/schools/natural-and-environmental-sciences/academic-programs/environmental-science-and-management/about-environmental-science,John Stolz,stolz@duq.edu,412-396-4367,600 Forbes Avenue,Pittsburgh,PA,15282,40.434436,-80.024817,Education,Zipcode
,Center for Health Environment & Justice,The No Fracking Campaign,,,chej@chej.org,703-237-2249,PO Box 6806,Falls Church,VA,22040-6806,38.8672,-77.1507,Advocacy,Municipality
,"Center for Healthy Environments & Communities, Univ. of Pgh","CHEC takes a community-based approach to analyze the social, economic, political, policy, behavioral and geographical variables associated with environmental health issue, as well as the traditional physical-chemical aspects of local environmental health problems.",http://www.chec.pitt.edu/,"Bruce Pitt, Interim Director",chec@pitt.edu,412-624-9379,"Bridgeside Point Building, 100 Technology Drive, Suite 553 Bridg",Pittsburgh,PA,15219,40.443819,-79.98067,Education,Zip code
,"Chagrin River Watershed Partners, Inc.",,,Amy Brennan,abrennan@crwp.org,440-655-1021,4145 Erie Street,Willoughby,OH,44094,41.6398858,-81.406581,Education,Municipality
,Chenango Delaware Otsego Gas Drilling Opposition Group (Un-Natural-Gas),Home of the Statewide Ban on Hydrofracking,http://www.un-naturalgas.org/index.htm,,un.naturalgas@gmail.com,,"CDOG, P.O. Box 443",Delhi,NY,13753,42.302716,-74.91667,Education,Zip code
,Citizens for Huerfano County,"To protect the public health, safety, environment, and wildlife in Huerfano County from the effects of oil and gas development.",http://www.huerfaNOfrack.com,Keli Kringel,kkringel@gmail.com,7197425538,PO BOX 1142,LA VETA,CO,81055,37.499829,-105.02943,Advocacy,Zipcode
,City of Pittsburgh,,,Thomas Olivo,thomas.olivo@pittsburghpa.gov,412-255-2731,414 Grant Street,Pittsburgh,PA,15220,40.43824,-79.996771,Government,Municipality
,Clean Air Council - Harrisburg Office,"Clean Air Council is a member- supported, non-profit environmental organization dedicated to protecting everyone's right to breathe clean air. The Council works through public education, community advocacy, and government oversight to ensure enforcement of environmental laws.",http://www.cleanair.org/,,,717-230-8806,107 N. Front Street,Harrisburg,PA,17101,40.261839,-76.88279,Advocacy,Zip code
,Clean Air Council - Philadelphia Office,"Clean Air Council is a member- supported, non-profit environmental organization dedicated to protecting everyone's right to breathe clean air. The Council works through public education, community advocacy, and government oversight to ensure enforcement of environmental laws.",http://www.cleanair.org/,,,215-567-4004,135 South 19th Street,Philadelphia,PA,19103,39.952162,-75.17406,Advocacy,Zip code
,Clean Air Council - Wilmington Office,"Clean Air Council is a member- supported, non-profit environmental organization dedicated to protecting everyone's right to breathe clean air. The Council works through public education, community advocacy, and government oversight to ensure enforcement of environmental laws.",http://www.cleanair.org/,,,302-691-0112,100 W. 10th Street,Wilmington,DE,19801,39.738563,-75.54833,Education,Zip code
,Clean Water Action - California,Clean Water Action is working to protect California from the dangers of hydraulic fracturing (fracking),http://www.cleanwateraction.org/ca,,cacwa@cleanwater.org,415.369.9160,"350 Frank H. Ogawa Plaza, #200",Oakland,CA,94612,37.809427,-122.27172,Advocacy,Zip code
,Clean Water Action - California,"Clean Water Action is a one million member organization of diverse people and groups joined together to protect our environment, health, economic well-being and community quality of life.",http://www.cleanwateraction.org/ca,Miriam Gordon,mgordon@cleanwater.org,415.369.9160,350 Frank H. Ogawa Plaza,Oakland,CA,94612,37.809427,-122.27172,Advocacy,Zipcode
,"Clean Water Action - Pittsburgh, PA","Clean Water Action is a one million member organization of diverse people and groups joined together to protect our environment, health, economic well-being and community quality of life.",http://www.cleanwateraction.org/pa,Myron Arnowitt - PA State Director,marnowitt@cleanwater.org,412-765-3053,100 5th Ave,Pittsburgh,PA,15222,40.447036,-79.99313,Advocacy,Zip code
,Cleveland Museum of Natural History,GreenCityBlueLake Institute,http://www.gcbl.org,David Beach,dbeach@cmnh.org,"216-231-4600, ext. 3366",1 Wade Oval Drive,Cleveland,OH,44106,41.5116759,-81.6117706,Education,Municipality
,Coalition for a Healthy County (CHC),"The Coalition for a Healthy County (CHC)is a coalition of concerned citizens and local and state organizations actively engaging in a campaign to maintain the integrity of conservation zones surrounding several natural areas in Indiana County, Pennsylvan",http://coalitionforahealthycounty.wordpress.com/,,coalitionforahealthycounty@gmail.com,,,Indiana,PA,,40.622901,-79.150151,Advocacy,Municipality
,Common Cause,nonpartisan tracking money in politics,,"James Browning, Bill Woods",wkwoods@juno.com,513-381-4994,"830 Main Street, Suite 900",Cincinnati,OH,45202,39.105507,-84.510385,Advocacy,Municipality
,"Common Cause, NY","Common Cause is a nonpartisan, nonprofit advocacy organization founded in 1970 by John Gardner as a vehicle for citizens to make their voices heard in the political process and to hold their elected leaders accountable to the public interest.",http://www.commoncause.org/site/pp.asp?c=dkLNK1MQIwG&b=4847595,"Bob Edgar, President and CEO",nyoffice@commoncause.org,202-833-1200,"1133 19th Street NW, 9th Floor",Washington,DC,20036,38.906778,-77.04148,Advocacy,Zip code
,Community Environmental Legal Defense Fund,"The Community Environmental Legal Defense Fund is a non-profit, public interest law firm providing free and affordable legal services to communities facing threats to their local environment, local agriculture, the local economy, and quality of life. Our mission is to build sustainable communities by assisting people to assert their right to local self-government and the rights of nature.",http://celdf.org/,"Thomas Linzey, Executive Director",info@celdf.org,717-498-0054,P.O. Box 360,Mercersburgh,PA,17236,39.793293,-77.92889,Industry,Zip code
5/5/2014 14:12,Concerned Chippewa Citizen,,www.ccc-wis.com,,,,,,WI,,44.6284,-89.7119,Advocacy,State
7/8/2014 18:26,Concerned Chippewa Citizen,,http://wisair.wordpress.com/,,juiceguy@juiceguy.com,,,,WI,,44.6284,-89.7119,Advocacy,State
,Concerned Citizens of Ohio/Shalersville,Streetsboro community group,,George Sosebee,gsose15553@aol.com,,King of Glory Church,Streetsboro,OH,44241,41.2390987,-81.3339956,Advocacy,Municipality
,Conemaugh Valley Conservancy,"Promoting the conservation and preservation of natural, cultural, and historic resources and encouraging prudent land-use practices in the Kiski-Conemaugh River Basin.",http://www.conemaughvalleyconservancy.org/,,info@conemaughvalleyconservancy.org,,P.O. Box 502,Hollsopple,PA,15935,40.212192,-78.95052,Advocacy,Zip code
,Conservation Voters of PA,Conservation Voters of Pennsylvania is dedicated to protecting the environment in Pennsylvania. We do this through educating citizens about the environmental issues which affect their health and helping them to engage elected officials about environmental issues.,https://www.facebook.com/ConservationPA,Josh McNeil,joshua.mcneil@conservationpa.org,215-564-3350,245 South 16th Street,Philadelphia,PA,19102,39.952962,-75.16558,Advocacy,Zip code
,Consultant,,,Julie Weatherinton-Rice,,614-436-5248,298 West New England Avenue,Worthington,OH,43085,40.0874809,-83.028113,Education,Municipality
,CUNY Graduate Center,Anthropology,,Andrew Brooks,abrooks@gc.cuny.edu,848-219-2290,365 Fifth Avenue,NY,NY,10016,40.748658,-73.9832546,Education,Municipality
,Dakota Resource Council,"The mission of DRC is to form enduring, democratic local groups that empower people to influence decision-making processes that affect their lives. ",www.drcinfo.org,Kathryn Hilton,kathryn@drcinfo.com,701-224-8587,"1200 Missouri Ave., Ste. 102",Bismarck,North Dakota,58501,46.80966,-100.812856,Advocacy,Address
,Damascus Citizens for Sustainability,"Damascus Citizens for Sustainability (DCS) is a collaborative effort to preserve and protect clean air, land and water as a civil and basic human right in the face of the threat posed by the shale gas extraction industry.",http://www.DamascusCitizens.org,,DCS@DamascusCitizens.org,,147,Milanville,PA,18443,41.656499,-75.11552,Advocacy,Zip code
,DC Bureau.org,Journalist,http://www.dcbureau.org,Nicholas Cunningham,nickcunningham1@gmail.com,202-466-4310,529 14th Street NW,Washington,DC,20045,38.896986,-77.031257,Press,Zipcode
,Delaware County Green Party,,http://www.delcogreens.org/,,,,,Swarthmore,PA,19081,39.881895,-75.349496,Political,Zip Code
,Delaware Riverkeeper Network,"Established in 1988 upon the appointment of the Delaware Riverkeeper, the Delaware Riverkeeper Network (DRN) is a nonprofit 501(c)(3) membership organization. DRN's professional staff and volunteers work throughout the entire Delaware River Watershed including portions of Pennsylvania, New Jersey, Delaware and New York.",http://www.delawareriverkeeper.org/,"Tracy Carluccio, Deputy Director",dm@delawareriverkeeper.org,215-369-1188,"925 Canal Street, 7th Floor, Suite 3701",Bristol,PA,19007,40.108943,-74.85548,Advocacy,Zip code
,"Department of Biology, Wheeling Jesuit University","Wheeling Jesuit Biology provides majors typically entering careers in chemical or genetic engineering, governmental and pharmaceutical research, environmental law, forensic science, medicine pathology, research, or teaching.",,Ben Stout,https://www.wju.edu/academics/bio/default.asp,304-243-2316,316 Washington Avenue,Wheeling,WV,26003,40.071472,-80.6868,Advocacy,Zipcode
,Duquesne University,Bayer School of Natural and Environmental Sciences Biotechnology,,Alan Seadler,seadler@duq.edu,412-396-1568,600 Forbes Avenue,Pittsburgh,PA,15282,40.4373053,-79.9912885,Education,Municipality
,Duquesne University,School of Law,,Theo Collins,collin16@duq.edu,,2600 Forbes Avenue,Pittsburgh,PA,15282,40.4356871,-79.9676275,Industry,Municipality
,Earth Justice - Northeast Regional Office,"Earthjustice is a non-profit public interest law firm dedicated to protecting the magnificent places, natural resources, and wildlife of this earth, and to defending the right of all people to a healthy environment. The Northeast is one of the most populated areas of the country, and protecting the region's public health is one of our top priorities. Our Northeast office halts the discharge of toxic chemicals into drinking water, cleans up abandoned waste sites, and pushes for greater consumer safety measures for household cleaners. In addition, our focus on curbing the use of fossil fuels aims to move the Northeast towards a more sustainable energy future.",http://earthjustice.org/about/offices/northeast,Deborah Goldberg,neoffice @earthjustice.org,212-791-1881,"156 William Street, Suite 800",NY,NY,10038,40.709677,-74.00365,Advocacy,Zip code
,Earthworks,"Earthworks is a nonprofit organization dedicated to protecting communities and the environment from the impacts of irresponsible mineral and energy development while seeking sustainable solutions. Earthworks stands for clean water, healthy communities and corporate accountability.",http://www.earthworksaction.org/,"Jennifer Krill, Executive Director",jkrill@earthworksaction.org,,1612 K St,Washington,D.C,20006,38.90215,-77.03755,Advocacy,Address
,"Eastern Gateway Community College, Jefferson County Campus",Worforce & Community Outreach,http://www.egcc.edu,"Tracee Joltes, M.ED.",tjoltes@egcc.edu,"740-264-5591, ext. 311",110 John Scott Highway,Steubenville,OH,43952,40.3765501,-80.6693088,Education,Municipality
,EcoWatch,,http://www.ecowatch.org,Stefanie Penn Spear,spear@ecowatch.org,216-387-1609,720 Literary Road,Cleveland,OH,44113,41.4821826,-81.686002,Press,Municipality
,Emens & Wolper Law Firm,Oil & Gas Lease Law,,J. Richard (Dick) Emens,demens@emenswolperlaw.com,614-414-0888,"One Easton Oval, Suite 550",Columbus,OH,43219,40.045752,-82.907252,Industry,Municipality
,EnergiWatch,"Energy Watch provides independent, critical and fair journalism on the energy industry.   ",http://energiwatch.dk/Service/Om_EnergiWatch/,,energiwatch@infowatch.dk,,"St. Regnegade 12, 2nd floor ",Copenhagen,,,55.68121,12.582035,Advocacy,Address
,Energy Justice Network,,http://www.energyjustice.net/,,,,1434 Elbridge St,Philadelphia,PA,19149,40.03933,-75.075617,Advocacy,Address
,"Environmental Justice Committee, Thomas Merton Center",,http://thomasmertoncenter.org/projects/environmental-justice/,,,,5129 Penn Avenue,Pittsburgh,PA,15224,40.46505,-79.941729,Advocacy,Address
,"Environmental Law Clinic, Univ. of Pgh","Working largely in the areas of water quality, water rights, mining, solid waste disposal, and land use, the Environmental Law Clinic represents low-income clients in matters ranging from legislative drafting to litigation to client counseling.Â  Students in the clinic work in interdisciplinary teams to solve clients' environment-related legal problems.",http://www.law.pitt.edu/academics/juris-doctor/clinics/environmental,"Emily A. Collins, Supervising Attorney",eac50@pitt.edu,412-648-1490,"Barco Law Building, 3900 Forbes Avenue",Pittsburgh,PA,15260,40.434436,-80.024817,Industry,Zip code
,Enviroscapes Landscape Design,NoFracOhio Partner,,Kathryn Hanratty,enviroscapesdesign@windstream.net,440-477-5468,150 Center Street,Chardon,OH,44024,41.58383,-81.208694,Advocacy,Municipality
,"EPA, Cincinnati",Sustainable Environments Branch,,Bill Shuster,,513-569-7244,26 West Martin Luther King Drive,Cincinnati,OH,45268,39.1367,-84.5105,Government,Municipality
,EPD,,,Caroyln Yagle,carolynyagle@epd-pgh.com,412-261-6000,100 Ross Street Suite 500,Pittsburgh,PA,15219,40.436145,-79.997083,Unknown,Municipality
,EQT,,,,,,625 Liberty Ave,Pittsburgh,PA,15222,40.442737,-80.000096,Industry,Address
,FaCT - Faith Communities Together for Frac Awareness,"This interfaith group includes Catholics, Protestants, and Jews from 16 Ohio counties and three in West Virginia from more than 40 different faith communities.",http://www.neogap.org/neogap/fact/,Ron Prosek,rprosek.neogap@earthlink.net,440-974-2035,,Hiram,OH,44234,41.337187,-81.16699,Advocacy,Zip code
,"Family Nurse Practitioner Program & Nurse- Managed Wellness Center, Duquesne University School of Nursing","The Center aims to provide wellness oriented health care services to vulnerable populations and deliver holistic and culturally competent care that promotes health, functioning, and quality of life.",http://www.duq.edu/academics/schools/nursing/about-the-school/nursing-centers/nurse-managed-wellness-center,Lenore Resick,resick@duq.edu,412-396-5228,600 Forbes Avenue,Pittsburgh,PA,15282,40.434436,-80.024817,Education,Zipcode
,Farm and Dairy,Shale Reporter,http://www.farmanddairy.com,Kristy Foster Seachrist,kfoster@farmanddairy.com,800-837-3419,185 East State Street,Salem,OH,44460,40.9008879,-80.8560735,Press,Municipality
,Fayette County Conservation District,"The Fayette County Conservation District is committed to the
conservation, protection, restoration and wise use of Fayette
CountyÂs natural resources.",http://www.fayettecd.org/,Doug Petro - District Manager,c-dpetro@state.pa.us,724-438-4497,10 Nickman Plaza,Lemont Furnace,PA,15456,39.923495,-79.66014,Education,Zip code
,Federal Emergency Management Agency (FEMA),Map Service Center,,,,877-336-2627,BO Box 3617,Oakton,VA,22124-9617,38.8809451,-77.3008172,Government,Municipality
,Food and Water Watch,"Food & Water Watch works to ensure the food, water and fish we consume is safe, accessible and sustainably produced.",http://www.foodandwaterwatch.org/take-action/in-your-community/pacific-region/california/,,klynch@fwwater.org,415-293-9917,25 Stillman St.,San Francisco,CA,94107,37.766529,-122.39577,Advocacy,Zip code
,Foundation for Pennsylvania Watersheds,"The Foundation for Pennsylvania Watersheds, formerly known as the Western Pennsylvania Watershed Program, is a grant-making foundation that invests in efforts to protect healthy, natural streams around the state Â and also to clean up pollution and repair damaged wildlife habitat.",http://www.wpawp.org/,,,814-669-4244,9697 Loop Road,Alexandria,PA,16611,40.561651,-78.10583,Advocacy,Zip code
,FracTracker Alliance,"The FracTracker Alliance is a non-profit organization dedicated to enhancing the publicï¿½s understanding of the impacts of the global shale gas industry by collecting, interpreting, and sharing data and visualizations through our website, FracTracker.org.",http://fractracker.org,Samantha Malone,malone@fractracker.org,412-802-0273,"4600 Penn Ave., Floor 1",Pittsburgh,PA,15224,40.463463,-79.94612,Education,Zip code
7/8/2014 18:29,FreshWater Accountability Project,"Our mission is to educate people about freshwater supplies by providing an online archive of studies and community information. Through education and factual information, people can work towards meaningful change at the local, state, and federal levels of government to ensure our water...",http://fwap.org/,,,,PO Box 473,Grand Rapids,OH,43522,41.4191,-83.8391,Education,Zip code
,FreshWater Accountability Project,Southeast Ohio Alliance to Sae Our Water,,Leatra Harper,wewantcleanwater@gmail.com,,419-450-7042,Senecaville,OH,43780,39.9342386,-81.4623419,Advocacy,Municipality
,Freshwater Future,Centre for Social Innovation - Annex,http://www.freshwaterfuture.org,,,,720 Bathurst Street,Toronto,Ontario,M5S 2R4,43.6632911,-79.4106179,Advocacy,Municipality
,Friends of the Harmed,Helping harmed people living in the shalefields,www.friendsoftheharmed.com,Briget Shields,brigetshields@gmail.com,412-422-0272,5129 Penn Ave.,Pittsburgh,PA,15224,40.465054,-79.941117,Advocacy,Address
,Friends of the Richelieu,Sends out a bilingual daily press review on shale gas in North America since August 10 2010.,http://lesamisdurichelieu.blogspot.ca,Johanne Dion,amiedurichelieu@gmail.com,,Richelieu,Richelieu,Quebec,J3L 3W2,45.449519,-73.262908,Press,Zip code
,Gas Drilling Awareness Coalition - Luzerne County,"The Gas Drilling Awareness Coalition, Inc. of Luzerne County, based in Dallas, PA, is a non-profit community educational association, whose members are concerned with the negative effects of the Industrial Process of Drilling for Natural Gas in PA. We are citizens from all walks of life.",http://www.gdacoalition.org,Mary Rodriguez,bigcacique@hotmail.com,570-266-5116,33 Mapleseed Drive,Dallas,PA,18612,41.345579,-75.97596,Advocacy,Zip code
,Gas Drilling Awareness for Cortland County,"GDACC is a group of residents, their goal is to educate themselves and the community about gas drilling, and to promote a safe and clean environment",http://gdacc.org/,,gdacc.cortland@gmail.com,,P.O. Box 5151,Cortland,NY,13045,42.591109,-76.19217,Advocacy,Zip code
,Government Accountability Office,"Oil and Gas: Information on Shale Resources, Development, and Environmental and Public Health Risks",,Frank Rusco,rusco@gao.gov,202-512-3841,"441 G St., NW",Washington,DC,20548,38.898485,-77.017548,Government,Municipality
,"Grand Riverkeeper, LEAD Agency, Inc.",To inform and educate citizens about environmental issues which may impact the environment and/or public health in northeastern Oklahoma.,www.leadagency.org,Earl Hatley,ehatley@neok.com,918-256-5269,19257 S. 4403 Dr.,Vinita,OK,74301,36.735894,-95.157886,Advocacy,Address
,Green Party of Pennsylvania (GPPA),,http://www.gpofpa.org,,,,,Harrisburg,PA,17108,40.261223,-76.882635,Political,Zip Code
,Green Party of Philadelphia (GPOP),,http://www.gpop.org,,,,,Philadelphia,PA,19102,39.952455,-75.163514,Political,Zip Code
,Group Against Smog and Pollution,"GASP is a non-profit citizens' group in Southwestern Pennsylvania working for a healthy, sustainable environment. It has been a diligent watchdog, educator, litigator, and policy-maker on many environmental issues, with a focus on air quality in the Pittsburgh region.",http://gasp-pgh.org/,"Rachel Filippini, Executive Director",gasp@gasp-pgh.org,412-924-0604,5135 Penn Avenue,Pittsburgh,PA,15224,40.463463,-79.94612,Advocacy,Zip code
